Customer_care_calls,Customer_rating,Cost_of_the_Product,Prior_purchases,Product_importance,Discount_offered,Weight_in_gms,Mode_of_Shipment_Flight,Mode_of_Shipment_Road,Mode_of_Shipment_Ship,Warehouse_block_A,Warehouse_block_B,Warehouse_block_C,Warehouse_block_D,Warehouse_block_F,Reached.on.Time_Y.N
-0.04312065596147426,-1.4154677378875808,1.0566311421722894,-1.0322078730623039,0.6095373521533309,-0.2661888691864027,0.32236465448875395,0,1,0,0,0,0,1,0,0
-0.9214045721767753,0.0018523902117447988,-1.0037832644999212,-1.0322078730623039,-0.9468524219607604,0.8407397571934497,-1.2069289827397653,0,0,1,0,0,0,0,1,1
-0.9214045721767753,-0.706807673837918,0.22414047280978006,-1.0322078730623039,0.6095373521533309,-0.2661888691864027,0.5108490243432493,0,0,1,0,1,0,0,0,0
-0.9214045721767753,1.4191725183110704,-1.107844598170235,0.2727342354255137,0.6095373521533309,-0.7219830094604597,0.6173304540662435,0,0,1,0,0,0,1,0,0
-1.7996884883920763,1.4191725183110704,1.2855660762469796,-1.0322078730623039,-0.9468524219607604,0.7105128599722906,0.004144289799346175,1,0,0,1,0,0,0,0,1
-0.04312065596147426,1.4191725183110704,0.9109452750338503,-0.379736818818395,-0.9468524219607604,1.0360801030251885,0.15529896302681487,0,1,0,0,1,0,0,0,1
-1.7996884883920763,1.4191725183110704,0.7444471411613484,0.9252052896694225,-0.9468524219607604,2.143008729405041,-0.7308223601852284,0,0,1,0,0,0,0,1,1
-0.04312065596147426,-0.706807673837918,0.22414047280978006,-1.0322078730623039,-0.9468524219607604,-0.005735074744084507,-0.3269272819255954,0,0,1,0,0,0,1,0,1
-1.7996884883920763,-0.706807673837918,-1.5865267330536779,-0.379736818818395,-0.9468524219607604,1.6221011405204042,-1.3948013903544734,0,0,1,0,0,0,0,1,1
-0.04312065596147426,0.7105124542614076,-1.1910936651064858,0.9252052896694225,0.6095373521533309,-0.2661888691864027,1.3382219725357096,0,0,1,0,0,0,0,1,0
0.8351632602538268,0.0018523902117447988,0.34901407321415645,0.9252052896694225,0.6095373521533309,-0.7219830094604597,-1.0196685373648446,0,0,1,0,0,1,0,0,0
-0.9214045721767753,0.0018523902117447988,0.8276962080975994,-0.379736818818395,-0.9468524219607604,-0.2661888691864027,0.8333531247111684,0,0,1,0,1,0,0,0,0
0.8351632602538268,0.0018523902117447988,-0.02560672799897275,0.2727342354255137,0.6095373521533309,-0.3964157664075618,-0.5851753471158455,0,0,1,0,0,0,1,0,1
1.7134471764691277,1.4191725183110704,0.619573540756972,-0.379736818818395,-0.9468524219607604,-0.5917561122393005,0.9716565909031033,0,0,1,0,0,0,0,1,1
-0.04312065596147426,0.0018523902117447988,1.098255675640415,1.5776763439133312,0.6095373521533309,-0.33130231779698227,-1.5349407432657705,0,1,0,0,0,0,0,1,1
-0.04312065596147426,0.7105124542614076,0.6820103409591602,-0.379736818818395,-0.9468524219607604,-0.20107542057582317,-0.18617596677451118,0,0,1,1,0,0,0,0,1
-0.04312065596147426,-1.4154677378875808,-0.4418520626802274,-0.379736818818395,0.6095373521533309,-0.5266426636287209,0.3070655984940709,1,0,0,0,0,0,0,1,0
-0.04312065596147426,0.7105124542614076,0.39063860668228195,0.9252052896694225,0.6095373521533309,-0.3964157664075618,-1.172047135071888,0,0,1,1,0,0,0,0,1
-0.9214045721767753,0.7105124542614076,0.8276962080975994,-0.379736818818395,-0.9468524219607604,-0.65686956084988,-0.7712118680111917,1,0,0,0,0,0,1,0,1
1.7134471764691277,-0.706807673837918,-0.7956605971592939,-1.0322078730623039,-0.9468524219607604,1.8174414863521429,-1.6065403253208872,0,0,1,0,0,0,0,1,1
-1.7996884883920763,1.4191725183110704,0.931757541767913,0.2727342354255137,-0.9468524219607604,1.4918742432992451,-0.9413373706720674,1,0,0,0,0,1,0,0,1
0.8351632602538268,0.7105124542614076,1.015006608704164,-0.379736818818395,0.6095373521533309,1.947668383573302,-0.5790557247179723,0,0,1,0,0,0,0,1,1
-0.9214045721767753,0.0018523902117447988,0.9525698085019757,-0.379736818818395,0.6095373521533309,-0.33130231779698227,0.26851197738746957,0,0,1,1,0,0,0,0,0
-0.04312065596147426,-0.706807673837918,-1.3784040657130505,0.9252052896694225,-0.9468524219607604,-0.65686956084988,1.331490387898049,0,0,1,1,0,0,0,0,1
0.8351632602538268,1.4191725183110704,-0.02560672799897275,-1.0322078730623039,-0.9468524219607604,-0.65686956084988,0.4386374800483453,0,0,1,0,0,0,1,0,0
-0.9214045721767753,0.7105124542614076,-0.941346464297733,-1.0322078730623039,0.6095373521533309,-0.33130231779698227,0.39702404774280736,0,0,1,0,0,0,0,1,1
0.8351632602538268,0.7105124542614076,1.1190679423744776,4.187560560888966,0.6095373521533309,1.361647346078086,-0.4107661087764586,0,0,1,0,1,0,0,0,1
-0.04312065596147426,-0.706807673837918,-0.5875379298186666,-0.379736818818395,-0.9468524219607604,2.6639163182896772,0.1907927729344796,0,0,1,0,0,0,1,0,1
0.8351632602538268,0.7105124542614076,-1.4200285991811759,-1.0322078730623039,2.1659271262674222,-0.3964157664075618,1.0463159841571568,1,0,0,0,0,0,0,1,0
-0.9214045721767753,1.4191725183110704,-0.12966806166928643,-1.0322078730623039,-0.9468524219607604,-0.7870964580710392,0.3070655984940709,0,1,0,1,0,0,0,0,0
0.8351632602538268,-1.4154677378875808,0.931757541767913,-0.379736818818395,0.6095373521533309,-0.4615292150181414,1.2751898618376154,0,0,1,0,0,0,0,1,0
0.8351632602538268,0.7105124542614076,1.4520642101194814,1.5776763439133312,0.6095373521533309,2.4685759724579386,-0.030125595628743895,1,0,0,0,0,0,0,1,1
-0.04312065596147426,-1.4154677378875808,-0.4418520626802274,-1.0322078730623039,0.6095373521533309,2.6639163182896772,-0.09621751752577475,0,0,1,0,0,0,1,0,1
0.8351632602538268,0.0018523902117447988,0.307389539746031,2.23014739815724,0.6095373521533309,2.0778952807944613,-0.2871497363394194,1,0,0,0,1,0,0,0,1
1.7134471764691277,0.0018523902117447988,1.3063783429810423,0.2727342354255137,0.6095373521533309,1.231420448856927,-0.6726859474054327,0,0,1,0,0,0,0,1,1
2.591731092684429,1.4191725183110704,1.701811410928234,0.9252052896694225,-0.9468524219607604,-0.5266426636287209,-1.0398632912778263,0,0,1,0,0,0,1,0,1
-0.9214045721767753,-0.706807673837918,-0.12966806166928643,0.2727342354255137,0.6095373521533309,-0.3964157664075618,0.6956616207590208,0,0,1,0,0,1,0,0,0
1.7134471764691277,1.4191725183110704,-1.9195230007986817,-1.0322078730623039,-0.9468524219607604,-0.4615292150181414,-1.1659275126740147,1,0,0,0,0,0,1,0,1
-0.04312065596147426,0.0018523902117447988,-1.0662200647021094,0.9252052896694225,-0.9468524219607604,-0.5917561122393005,0.6332414723007139,0,0,1,0,0,1,0,0,1
0.8351632602538268,1.4191725183110704,0.6820103409591602,-1.0322078730623039,-0.9468524219607604,-0.2661888691864027,0.6350773590200759,0,0,1,0,1,0,0,0,1
-0.9214045721767753,-1.4154677378875808,0.3282018064800937,-0.379736818818395,2.1659271262674222,-0.7219830094604597,0.7342152418656221,0,0,1,0,1,0,0,0,1
-0.9214045721767753,-0.706807673837918,0.8276962080975994,0.9252052896694225,-0.9468524219607604,1.4918742432992451,-0.559472933044778,0,0,1,0,0,0,1,0,1
-0.9214045721767753,0.0018523902117447988,-0.6707869967549175,-0.379736818818395,2.1659271262674222,1.947668383573302,-1.2938276207895651,0,0,1,0,1,0,0,0,1
-0.04312065596147426,0.0018523902117447988,-0.8997219308296076,-0.379736818818395,0.6095373521533309,-0.7870964580710392,0.6057031715102844,1,0,0,0,0,0,0,1,1
-0.9214045721767753,0.0018523902117447988,0.16170367260759186,-1.0322078730623039,0.6095373521533309,-0.2661888691864027,-0.9560244644269631,0,1,0,0,0,0,1,0,1
-0.9214045721767753,-1.4154677378875808,-1.503277666117427,0.9252052896694225,0.6095373521533309,-0.33130231779698227,-1.3966372770738353,0,0,1,0,0,0,1,0,1
0.8351632602538268,0.0018523902117447988,-0.4418520626802274,0.9252052896694225,-0.9468524219607604,-0.3964157664075618,0.7574698069775404,0,0,1,0,0,0,0,1,0
-0.9214045721767753,0.7105124542614076,-1.565714466319615,-0.379736818818395,-0.9468524219607604,-0.13596197196524362,-1.1573600413169922,1,0,0,1,0,0,0,0,1
-0.9214045721767753,-0.706807673837918,-0.6915992634889803,-1.0322078730623039,2.1659271262674222,-0.2661888691864027,0.6222261519845421,0,0,1,0,0,0,0,1,0
-0.04312065596147426,0.7105124542614076,0.7652594078954111,-1.0322078730623039,0.6095373521533309,-0.2661888691864027,0.8957732731694753,0,0,1,1,0,0,0,0,0
-0.9214045721767753,-0.706807673837918,0.7236348744272857,-0.379736818818395,0.6095373521533309,-0.3964157664075618,0.299722051616623,0,0,1,0,0,0,1,0,0
0.8351632602538268,1.4191725183110704,-1.2743427320427367,2.23014739815724,0.6095373521533309,2.403462523847359,-1.3984731637931973,0,0,1,0,0,1,0,0,1
0.8351632602538268,0.7105124542614076,0.3698263399482192,-0.379736818818395,0.6095373521533309,1.8825549349627224,-0.2975530944158039,0,0,1,0,1,0,0,0,1
-0.04312065596147426,0.0018523902117447988,-0.629162463286792,-0.379736818818395,-0.9468524219607604,-0.3964157664075618,1.2770257485569774,0,1,0,0,0,1,0,0,0
-0.9214045721767753,-1.4154677378875808,-0.12966806166928643,-0.379736818818395,0.6095373521533309,-0.5917561122393005,0.6044792470307098,0,0,1,0,0,0,0,1,1
0.8351632602538268,0.0018523902117447988,-0.4210397959461647,-0.379736818818395,2.1659271262674222,2.0778952807944613,-0.6139375723858498,0,0,1,0,1,0,0,0,1
1.7134471764691277,-1.4154677378875808,1.3896274099172932,0.9252052896694225,-0.9468524219607604,-0.7219830094604597,-1.4939392732000198,0,1,0,0,0,0,0,1,1
-0.9214045721767753,0.7105124542614076,1.2231292760447914,-0.379736818818395,0.6095373521533309,-0.2661888691864027,0.9190278382813936,0,0,1,0,0,0,0,1,1
-0.04312065596147426,0.7105124542614076,0.8693207415657248,-0.379736818818395,0.6095373521533309,-0.3964157664075618,-0.7063438705937355,1,0,0,1,0,0,0,0,1
-0.04312065596147426,-1.4154677378875808,0.4946999403525956,-0.379736818818395,-0.9468524219607604,-0.7219830094604597,0.398247972222382,0,0,1,0,1,0,0,0,0
0.8351632602538268,-1.4154677378875808,-0.4210397959461647,-1.0322078730623039,-0.9468524219607604,-0.2661888691864027,0.9759403265816146,0,0,1,0,0,0,0,1,0
0.8351632602538268,-0.706807673837918,1.2855660762469796,0.9252052896694225,-0.9468524219607604,-0.33130231779698227,-1.4162200687470297,0,1,0,1,0,0,0,0,0
0.8351632602538268,1.4191725183110704,0.3282018064800937,-0.379736818818395,-0.9468524219607604,2.403462523847359,-0.7852869995263001,0,0,1,0,0,0,0,1,1
0.8351632602538268,0.0018523902117447988,-1.2327181985746114,-1.0322078730623039,-0.9468524219607604,-0.33130231779698227,0.6840343382030617,1,0,0,0,0,0,1,0,0
-0.04312065596147426,1.4191725183110704,-0.37941526247803925,-0.379736818818395,0.6095373521533309,1.8174414863521429,0.147955416149367,0,0,1,0,0,1,0,0,1
-0.9214045721767753,-0.706807673837918,-0.6915992634889803,-0.379736818818395,-0.9468524219607604,-0.5266426636287209,1.4134933280295503,0,0,1,0,0,1,0,0,0
-0.9214045721767753,0.0018523902117447988,-0.6707869967549175,-0.379736818818395,2.1659271262674222,-0.07084852335466406,-1.0594460829510206,1,0,0,0,0,0,1,0,1
2.591731092684429,0.7105124542614076,1.9723708784710496,0.2727342354255137,0.6095373521533309,-0.4615292150181414,-1.0759690634252783,0,0,1,0,0,1,0,0,0
-0.04312065596147426,-1.4154677378875808,-1.024595531233984,1.5776763439133312,-0.9468524219607604,-0.7219830094604597,1.2868171443935745,0,0,1,0,0,1,0,0,0
0.8351632602538268,-1.4154677378875808,0.931757541767913,0.9252052896694225,0.6095373521533309,-0.2661888691864027,-1.5147459893527888,0,0,1,0,0,1,0,0,1
0.8351632602538268,-0.706807673837918,0.16170367260759186,-0.379736818818395,-0.9468524219607604,-0.5917561122393005,1.0597791534324779,0,0,1,0,1,0,0,0,1
0.8351632602538268,-1.4154677378875808,-0.10885579493522368,-1.0322078730623039,0.6095373521533309,0.9058532058040293,-0.03808110474597909,0,0,1,0,1,0,0,0,1
0.8351632602538268,-1.4154677378875808,0.536324473820721,0.9252052896694225,0.6095373521533309,-0.65686956084988,-1.1824504931482724,0,0,1,0,1,0,0,0,0
-0.04312065596147426,0.0018523902117447988,0.16170367260759186,-1.0322078730623039,0.6095373521533309,-0.4615292150181414,0.4790269878743086,0,0,1,0,1,0,0,0,1
0.8351632602538268,1.4191725183110704,-0.5459133963505411,-0.379736818818395,-0.9468524219607604,-0.7219830094604597,1.3272066522195378,0,1,0,0,1,0,0,0,0
-0.9214045721767753,0.0018523902117447988,-1.0037832644999212,-0.379736818818395,0.6095373521533309,-0.3964157664075618,-1.0588341207112333,0,0,1,0,0,0,0,1,1
0.8351632602538268,0.0018523902117447988,1.1190679423744776,-1.0322078730623039,-0.9468524219607604,2.6639163182896772,-0.9829508029776053,0,0,1,0,0,0,0,1,1
-0.04312065596147426,1.4191725183110704,-1.1286568649042976,-0.379736818818395,-0.9468524219607604,1.2965338974675065,-1.0986116662974093,0,0,1,0,0,0,0,1,1
0.8351632602538268,1.4191725183110704,1.1190679423744776,-0.379736818818395,0.6095373521533309,0.6453994113617111,-0.4860374642702993,0,0,1,0,0,1,0,0,1
1.7134471764691277,0.0018523902117447988,1.4104396766513558,0.2727342354255137,2.1659271262674222,-0.65686956084988,-1.5900173448466295,0,0,1,0,0,1,0,0,0
1.7134471764691277,1.4191725183110704,0.7652594078954111,0.2727342354255137,0.6095373521533309,-0.3964157664075618,-1.3280975062176552,0,1,0,0,0,0,0,1,1
-0.9214045721767753,0.7105124542614076,-0.7748483304252312,-0.379736818818395,-0.9468524219607604,-0.33130231779698227,1.4367478931414686,0,0,1,1,0,0,0,0,0
-0.04312065596147426,-1.4154677378875808,1.868309544800736,0.9252052896694225,0.6095373521533309,-0.4615292150181414,-1.5936891182853534,0,0,1,0,1,0,0,0,0
-0.9214045721767753,-1.4154677378875808,-0.06723126146709822,-0.379736818818395,0.6095373521533309,2.6639163182896772,-0.09132181960747617,0,0,1,0,0,0,0,1,1
-0.9214045721767753,0.7105124542614076,-1.3575917989789876,0.2727342354255137,2.1659271262674222,-0.5917561122393005,1.3278186144593251,0,0,1,0,0,0,0,1,0
-0.04312065596147426,-0.706807673837918,-0.37941526247803925,0.2727342354255137,0.6095373521533309,-0.7219830094604597,1.145453867002703,0,0,1,0,0,0,0,1,0
0.8351632602538268,0.7105124542614076,0.2657650062779055,0.9252052896694225,-0.9468524219607604,-0.7219830094604597,-1.17388302179125,0,0,1,0,1,0,0,0,0
-0.9214045721767753,-0.706807673837918,0.34901407321415645,-0.379736818818395,2.1659271262674222,-0.5266426636287209,0.32787231464683986,1,0,0,0,0,1,0,0,1
-0.04312065596147426,-0.706807673837918,-0.37941526247803925,-0.379736818818395,0.6095373521533309,-0.65686956084988,0.7899038056862685,1,0,0,0,1,0,0,0,0
-0.9214045721767753,-1.4154677378875808,0.5779490072888466,-1.0322078730623039,0.6095373521533309,2.403462523847359,-0.11824815815811836,0,0,1,0,1,0,0,0,1
0.8351632602538268,-1.4154677378875808,0.6403858074910347,-0.379736818818395,2.1659271262674222,-0.33130231779698227,1.0248973057646005,0,0,1,0,0,0,1,0,1
1.7134471764691277,1.4191725183110704,0.931757541767913,0.2727342354255137,-0.9468524219607604,-0.2661888691864027,-1.4896555375215086,0,0,1,0,0,0,0,1,0
-0.04312065596147426,0.7105124542614076,-1.0037832644999212,-0.379736818818395,0.6095373521533309,1.8174414863521429,-1.5465680258217296,0,0,1,0,0,0,0,1,1
-0.04312065596147426,0.0018523902117447988,-0.37941526247803925,0.2727342354255137,-0.9468524219607604,-0.7219830094604597,-1.1022834397361332,0,0,1,1,0,0,0,0,0
-0.9214045721767753,0.0018523902117447988,0.47388767361853285,-0.379736818818395,0.6095373521533309,1.4267607946886656,-0.8734095620556745,0,0,1,0,0,0,0,1,1
1.7134471764691277,-1.4154677378875808,1.2855660762469796,0.2727342354255137,-0.9468524219607604,-0.7219830094604597,-1.5991967784434393,1,0,0,0,0,0,0,1,0
-0.04312065596147426,-1.4154677378875808,0.3282018064800937,0.9252052896694225,-0.9468524219607604,-0.2661888691864027,-1.28587211167233,0,1,0,0,0,0,0,1,0
-0.04312065596147426,-1.4154677378875808,-1.3575917989789876,-0.379736818818395,-0.9468524219607604,-0.33130231779698227,0.9153560648426696,1,0,0,0,0,0,1,0,0
1.7134471764691277,0.7105124542614076,1.951558611736987,0.2727342354255137,-0.9468524219607604,-0.7219830094604597,-1.1518523811589063,0,0,1,0,0,0,0,1,0
-0.04312065596147426,0.7105124542614076,-0.6707869967549175,1.5776763439133312,-0.9468524219607604,-0.2661888691864027,1.0083743252903428,1,0,0,0,0,0,1,0,1
